District,County,FY,DC Case Category,DC Case Type,Filing/Disposition Type,Count,Count Description
8,Baltimore,FY2014,Criminal,Criminal,Nolle Prosequi,3907,Disposition
8,Baltimore,FY2014,Criminal,Criminal,Jury Trial Prayer,1811,Disposition
8,Baltimore,FY2014,Criminal,Criminal,Other,49,Disposition
8,Baltimore,FY2014,Criminal,Criminal,Probation Before Judgment,1755,Disposition
8,Baltimore,FY2014,Criminal,Criminal,Dismissed,1034,Disposition
8,Baltimore,FY2014,Criminal,Criminal,Stet,3099,Disposition
8,Baltimore,FY2014,Criminal,Criminal,Forwarded to Circuit Court,2623,Disposition
8,Baltimore,FY2014,Criminal,Criminal,Not Guilty,729,Disposition
8,Baltimore,FY2014,Misc,Civil Citations,All Disposition Manner,408,Disposition
8,Baltimore,FY2014,Criminal,Criminal,Guilty,3055,Disposition
8,Baltimore,FY2014,Civil,Civil,All Judgements,19931,Disposition
8,Baltimore,FY2014,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,866,Disposition
8,Baltimore,FY2014,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,769,Disposition
8,Baltimore,FY2014,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,2355,Disposition
8,Baltimore,FY2014,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,1676,Disposition
8,Baltimore,FY2014,Motor Vehicle,Parking & Red Light,All Disposition Manner,4839,Disposition
8,Baltimore,FY2014,Misc,Emergency Evaluations,Granted,274,Disposition
8,Baltimore,FY2015,Misc,Civil Citations,ALL,1296,Filing
8,Baltimore,FY2015,Misc,Forfeiture of Contraband,ALL,144,Filing
8,Baltimore,FY2015,Criminal,Criminal,ALL,15653,Filing
8,Baltimore,FY2015,Misc,Injunctions,ALL,3,Filing
8,Baltimore,FY2015,Civil,Civil,ALL,33535,Filing
8,Baltimore,FY2015,Misc,Emergency Evaluations,ALL,434,Filing
8,Baltimore,FY2015,Criminal,Fugitive Warrants,ALL,182,Filing
8,Baltimore,FY2015,Landlord Tenant,Landlord Tenant,ALL,807,Filing
8,Baltimore,FY2015,Motor Vehicle,Payable & Must Appear,ALL,69331,Filing
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,ALL,2583,Filing
8,Baltimore,FY2015,Motor Vehicle,Other,ALL,244,Filing
8,Baltimore,FY2015,Peace Order & Domestic Violence,Domestic Violence,ALL,3255,Filing
8,Baltimore,FY2015,Peace Order & Domestic Violence,Peace Order ,ALL,2492,Filing
8,Baltimore,FY2015,Motor Vehicle,Parking & Red Light,ALL,6387,Filing
8,Baltimore,FY2015,Motor Vehicle,Payable & Must Appear,Paid,38415,Disposition
8,Baltimore,FY2015,Motor Vehicle,Payable & Must Appear,Tried,23621,Disposition
8,Baltimore,FY2015,Motor Vehicle,Payable & Must Appear,Miscellaneous,8464,Disposition
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,Probation Before Judgment,1464,Disposition
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,Guilty,849,Disposition
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,Nolle Prosequi,266,Disposition
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,Other,10,Disposition
8,Baltimore,FY2015,Motor Vehicle,Other,All Disposition Manner,243,Disposition
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,Stet,8,Disposition
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,Not Guilty,64,Disposition
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,Dismissed,10,Disposition
8,Baltimore,FY2015,Motor Vehicle,DUI/DWI,Jury Trial Prayer,4,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Nolle Prosequi,4122,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Dismissed,1006,Disposition
8,Baltimore,FY2015,Misc,Civil Citations,All Disposition Manner,1167,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Stet,3637,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Other,63,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Jury Trial Prayer,1945,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Forwarded to Circuit Court,2408,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Guilty,2487,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Not Guilty,751,Disposition
8,Baltimore,FY2015,Criminal,Criminal,Probation Before Judgment,1439,Disposition
8,Baltimore,FY2015,Civil,Civil,All Judgements,18348,Disposition
8,Baltimore,FY2015,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,830,Disposition
8,Baltimore,FY2015,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,766,Disposition
8,Baltimore,FY2015,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,2307,Disposition
8,Baltimore,FY2015,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,1696,Disposition
8,Baltimore,FY2015,Motor Vehicle,Parking & Red Light,All Disposition Manner,6387,Disposition
8,Baltimore,FY2015,Misc,Emergency Evaluations,Granted,277,Disposition
8,Baltimore,FY2016,Misc,Injunctions,ALL,4,Filing
8,Baltimore,FY2016,Criminal,Criminal,ALL,15467,Filing
8,Baltimore,FY2016,Criminal,Fugitive Warrants,ALL,180,Filing
8,Baltimore,FY2016,Landlord Tenant,Landlord Tenant,ALL,960,Filing
8,Baltimore,FY2016,Misc,Civil Citations,ALL,1805,Filing
8,Baltimore,FY2016,Misc,Forfeiture of Contraband,ALL,143,Filing
8,Baltimore,FY2016,Misc,Emergency Evaluations,ALL,453,Filing
8,Baltimore,FY2016,Civil,Civil,ALL,34628,Filing
8,Baltimore,FY2016,Motor Vehicle,Payable & Must Appear,ALL,69332,Filing
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,ALL,2404,Filing
8,Baltimore,FY2016,Motor Vehicle,Other,ALL,604,Filing
8,Baltimore,FY2016,Peace Order & Domestic Violence,Domestic Violence,ALL,3696,Filing
8,Baltimore,FY2016,Peace Order & Domestic Violence,Peace Order ,ALL,2470,Filing
8,Baltimore,FY2016,Motor Vehicle,Parking & Red Light,ALL,9442,Filing
8,Baltimore,FY2016,Motor Vehicle,Payable & Must Appear,Tried,22239,Disposition
8,Baltimore,FY2016,Motor Vehicle,Payable & Must Appear,Paid,36244,Disposition
8,Baltimore,FY2016,Motor Vehicle,Payable & Must Appear,Miscellaneous,8223,Disposition
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,Guilty,844,Disposition
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,Probation Before Judgment,1368,Disposition
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,Other,24,Disposition
8,Baltimore,FY2016,Motor Vehicle,Other,All Disposition Manner,470,Disposition
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,Nolle Prosequi,266,Disposition
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,Not Guilty,85,Disposition
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,Dismissed,6,Disposition
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,Stet,5,Disposition
8,Baltimore,FY2016,Motor Vehicle,DUI/DWI,Jury Trial Prayer,4,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Forwarded to Circuit Court,2553,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Other,103,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Probation Before Judgment,1303,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Jury Trial Prayer,1928,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Guilty,2494,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Stet,1985,Disposition
8,Baltimore,FY2016,Misc,Civil Citations,All Disposition Manner,1845,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Nolle Prosequi,3442,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Not Guilty,743,Disposition
8,Baltimore,FY2016,Criminal,Criminal,Dismissed,1102,Disposition
8,Baltimore,FY2016,Civil,Civil,All Judgements,19675,Disposition
8,Baltimore,FY2016,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,993,Disposition
8,Baltimore,FY2016,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,696,Disposition
8,Baltimore,FY2016,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,2584,Disposition
8,Baltimore,FY2016,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,1509,Disposition
8,Baltimore,FY2016,Motor Vehicle,Parking & Red Light,All Disposition Manner,9442,Disposition
8,Baltimore,FY2016,Misc,Emergency Evaluations,Granted,272,Disposition
8,Baltimore,FY2017,Civil,Civil,ALL,38188,Filing
8,Baltimore,FY2017,Misc,Civil Citations,ALL,1397,Filing
8,Baltimore,FY2017,Criminal,Fugitive Warrants,ALL,249,Filing
8,Baltimore,FY2017,Landlord Tenant,Landlord Tenant,ALL,1072,Filing
8,Baltimore,FY2017,Misc,Injunctions,ALL,6,Filing
8,Baltimore,FY2017,Criminal,Criminal,ALL,14505,Filing
8,Baltimore,FY2017,Misc,Emergency Evaluations,ALL,547,Filing
8,Baltimore,FY2017,Misc,Forfeiture of Contraband,ALL,134,Filing
8,Baltimore,FY2017,Motor Vehicle,Payable & Must Appear,ALL,61011,Filing
8,Baltimore,FY2017,Motor Vehicle,DUI/DWI,ALL,2262,Filing
8,Baltimore,FY2017,Motor Vehicle,Other,ALL,953,Filing
8,Baltimore,FY2017,Peace Order & Domestic Violence,Domestic Violence,ALL,3619,Filing
8,Baltimore,FY2017,Peace Order & Domestic Violence,Peace Order ,ALL,2258,Filing
8,Baltimore,FY2017,Motor Vehicle,Parking & Red Light,ALL,7655,Filing
8,Baltimore,FY2017,Motor Vehicle,Payable & Must Appear,Paid,32825,Disposition
8,Baltimore,FY2017,Motor Vehicle,Payable & Must Appear,Tried,21716,Disposition
8,Baltimore,FY2017,Motor Vehicle,Payable & Must Appear,Miscellaneous,8929,Disposition
8,Baltimore,FY2017,Motor Vehicle,DUI/DWI,Probation Before Judgment,1218,Disposition
8,Baltimore,FY2017,Motor Vehicle,DUI/DWI,Guilty,824,Disposition
8,Baltimore,FY2017,Motor Vehicle,DUI/DWI,Stet,13,Disposition
8,Baltimore,FY2017,Motor Vehicle,DUI/DWI,Nolle Prosequi,183,Disposition
8,Baltimore,FY2017,Motor Vehicle,DUI/DWI,Not Guilty,49,Disposition
8,Baltimore,FY2017,Motor Vehicle,DUI/DWI,Other,22,Disposition
8,Baltimore,FY2017,Motor Vehicle,Other,All Disposition Manner,640,Disposition
8,Baltimore,FY2017,Motor Vehicle,DUI/DWI,Dismissed,1,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Forwarded to Circuit Court,2683,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Dismissed,913,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Jury Trial Prayer,1464,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Probation Before Judgment,1154,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Stet,1753,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Not Guilty,635,Disposition
8,Baltimore,FY2017,Misc,Civil Citations,All Disposition Manner,1413,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Nolle Prosequi,3502,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Guilty,2289,Disposition
8,Baltimore,FY2017,Criminal,Criminal,Other,97,Disposition
8,Baltimore,FY2017,Civil,Civil,All Judgements,19492,Disposition
8,Baltimore,FY2017,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,929,Disposition
8,Baltimore,FY2017,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,609,Disposition
8,Baltimore,FY2017,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,2551,Disposition
8,Baltimore,FY2017,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,1612,Disposition
8,Baltimore,FY2017,Motor Vehicle,Parking & Red Light,All Disposition Manner,7655,Disposition
8,Baltimore,FY2017,Misc,Emergency Evaluations,Granted,308,Disposition
8,Baltimore,FY2018,Misc,Emergency Evaluations,ALL,585,Filing
8,Baltimore,FY2018,Criminal,Fugitive Warrants,ALL,191,Filing
8,Baltimore,FY2018,Misc,Civil Citations,ALL,939,Filing
8,Baltimore,FY2018,Landlord Tenant,Landlord Tenant,ALL,1110,Filing
8,Baltimore,FY2018,Criminal,Criminal,ALL,13984,Filing
8,Baltimore,FY2018,Misc,Injunctions,ALL,9,Filing
8,Baltimore,FY2018,Civil,Civil,ALL,38011,Filing
8,Baltimore,FY2018,Misc,Forfeiture of Contraband,ALL,21,Filing
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,ALL,2490,Filing
8,Baltimore,FY2018,Motor Vehicle,Payable & Must Appear,ALL,60304,Filing
8,Baltimore,FY2018,Motor Vehicle,Other,ALL,701,Filing
8,Baltimore,FY2018,Peace Order & Domestic Violence,Domestic Violence,ALL,3624,Filing
8,Baltimore,FY2018,Peace Order & Domestic Violence,Peace Order ,ALL,2255,Filing
8,Baltimore,FY2018,Motor Vehicle,Parking & Red Light,ALL,6851,Filing
8,Baltimore,FY2018,Motor Vehicle,Payable & Must Appear,Tried,19229,Disposition
8,Baltimore,FY2018,Motor Vehicle,Payable & Must Appear,Miscellaneous,9731,Disposition
8,Baltimore,FY2018,Motor Vehicle,Payable & Must Appear,Paid,30616,Disposition
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,Probation Before Judgment,1300,Disposition
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,Nolle Prosequi,235,Disposition
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,Other,23,Disposition
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,Guilty,830,Disposition
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,Not Guilty,67,Disposition
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,Dismissed,4,Disposition
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,Jury Trial Prayer,5,Disposition
8,Baltimore,FY2018,Motor Vehicle,Other,All Disposition Manner,766,Disposition
8,Baltimore,FY2018,Motor Vehicle,DUI/DWI,Stet,13,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Nolle Prosequi,3647,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Other,109,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Guilty,2071,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Dismissed,866,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Not Guilty,669,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Jury Trial Prayer,1225,Disposition
8,Baltimore,FY2018,Misc,Civil Citations,All Disposition Manner,1032,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Stet,1704,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Forwarded to Circuit Court,2658,Disposition
8,Baltimore,FY2018,Criminal,Criminal,Probation Before Judgment,958,Disposition
8,Baltimore,FY2018,Civil,Civil,All Judgements,21062,Disposition
8,Baltimore,FY2018,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,1001,Disposition
8,Baltimore,FY2018,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,598,Disposition
8,Baltimore,FY2018,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,2520,Disposition
8,Baltimore,FY2018,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,1639,Disposition
8,Baltimore,FY2018,Motor Vehicle,Parking & Red Light,All Disposition Manner,6851,Disposition
8,Baltimore,FY2018,Misc,Emergency Evaluations,Granted,312,Disposition
8,Baltimore,FY2019,Misc,Civil Citations,ALL,789,Filing
8,Baltimore,FY2019,Civil,Civil,ALL,34996,Filing
8,Baltimore,FY2019,Landlord Tenant,Landlord Tenant,ALL,67355,Filing
8,Baltimore,FY2019,Criminal,Criminal,ALL,14515,Filing
8,Baltimore,FY2019,Misc,Emergency Evaluations,ALL,541,Filing
8,Baltimore,FY2019,Criminal,Fugitive Warrants,ALL,194,Filing
8,Baltimore,FY2019,Misc,Forfeiture of Contraband,ALL,6,Filing
8,Baltimore,FY2019,Misc,Injunctions,ALL,1,Filing
8,Baltimore,FY2019,Motor Vehicle,Payable & Must Appear,ALL,54016,Filing
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,ALL,2661,Filing
8,Baltimore,FY2019,Motor Vehicle,Other,ALL,626,Filing
8,Baltimore,FY2019,Peace Order & Domestic Violence,Domestic Violence,ALL,3736,Filing
8,Baltimore,FY2019,Peace Order & Domestic Violence,Peace Order ,ALL,2331,Filing
8,Baltimore,FY2019,Motor Vehicle,Parking & Red Light,ALL,6411,Filing
8,Baltimore,FY2019,Motor Vehicle,Payable & Must Appear,Miscellaneous,8718,Disposition
8,Baltimore,FY2019,Motor Vehicle,Payable & Must Appear,Paid,26691,Disposition
8,Baltimore,FY2019,Motor Vehicle,Payable & Must Appear,Tried,15566,Disposition
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,Probation Before Judgment,1195,Disposition
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,Jury Trial Prayer,267,Disposition
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,Nolle Prosequi,227,Disposition
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,Guilty,725,Disposition
8,Baltimore,FY2019,Motor Vehicle,Other,All Disposition Manner,514,Disposition
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,Stet,18,Disposition
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,Other,30,Disposition
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,Not Guilty,50,Disposition
8,Baltimore,FY2019,Motor Vehicle,DUI/DWI,Dismissed,2,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Nolle Prosequi,3782,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Forwarded to Circuit Court,2568,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Dismissed,727,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Stet,1678,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Guilty,2079,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Not Guilty,706,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Probation Before Judgment,970,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Other,79,Disposition
8,Baltimore,FY2019,Criminal,Criminal,Jury Trial Prayer,1426,Disposition
8,Baltimore,FY2019,Misc,Civil Citations,All Disposition Manner,851,Disposition
8,Baltimore,FY2019,Civil,Civil,All Judgements,19291,Disposition
8,Baltimore,FY2019,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,964,Disposition
8,Baltimore,FY2019,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,641,Disposition
8,Baltimore,FY2019,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,2556,Disposition
8,Baltimore,FY2019,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,1669,Disposition
8,Baltimore,FY2019,Motor Vehicle,Parking & Red Light,All Disposition Manner,6411,Disposition
8,Baltimore,FY2019,Misc,Emergency Evaluations,Granted,302,Disposition
8,Baltimore,FY2020,Misc,Injunctions,ALL,9,Filing
8,Baltimore,FY2020,Misc,Emergency Evaluations,ALL,497,Filing
8,Baltimore,FY2020,Civil,Civil,ALL,33495,Filing
8,Baltimore,FY2020,Criminal,Criminal,ALL,12874,Filing
8,Baltimore,FY2020,Misc,Municipal Infractions,ALL,5,Filing
8,Baltimore,FY2020,Criminal,Fugitive Warrants,ALL,172,Filing
8,Baltimore,FY2020,Misc,Forfeiture of Contraband,ALL,11,Filing
8,Baltimore,FY2020,Misc,Civil Citations,ALL,520,Filing
8,Baltimore,FY2020,Landlord Tenant,Landlord Tenant,ALL,136508,Filing
8,Baltimore,FY2020,Motor Vehicle,Payable & Must Appear,ALL,44465,Filing
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,ALL,2170,Filing
8,Baltimore,FY2020,Motor Vehicle,Other,ALL,596,Filing
8,Baltimore,FY2020,Peace Order & Domestic Violence,Domestic Violence,ALL,3426,Filing
8,Baltimore,FY2020,Peace Order & Domestic Violence,Peace Order ,ALL,2362,Filing
8,Baltimore,FY2020,Motor Vehicle,Parking & Red Light,ALL,4419,Filing
8,Baltimore,FY2020,Motor Vehicle,Payable & Must Appear,Miscellaneous,7205,Disposition
8,Baltimore,FY2020,Motor Vehicle,Payable & Must Appear,Tried,11902,Disposition
8,Baltimore,FY2020,Motor Vehicle,Payable & Must Appear,Paid,21596,Disposition
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,Guilty,495,Disposition
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,Probation Before Judgment,868,Disposition
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,Not Guilty,42,Disposition
8,Baltimore,FY2020,Motor Vehicle,Other,All Disposition Manner,474,Disposition
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,Jury Trial Prayer,344,Disposition
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,Other,24,Disposition
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,Nolle Prosequi,212,Disposition
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,Dismissed,7,Disposition
8,Baltimore,FY2020,Motor Vehicle,DUI/DWI,Stet,6,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Guilty,1421,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Nolle Prosequi,3439,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Jury Trial Prayer,1195,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Other,54,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Forwarded to Circuit Court,1952,Disposition
8,Baltimore,FY2020,Misc,Civil Citations,All Disposition Manner,444,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Dismissed,227,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Not Guilty,537,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Stet,1105,Disposition
8,Baltimore,FY2020,Criminal,Criminal,Probation Before Judgment,801,Disposition
8,Baltimore,FY2020,Civil,Civil,All Judgements,17245,Disposition
8,Baltimore,FY2020,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,792,Disposition
8,Baltimore,FY2020,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,558,Disposition
8,Baltimore,FY2020,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,2425,Disposition
8,Baltimore,FY2020,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,1662,Disposition
8,Baltimore,FY2020,Motor Vehicle,Parking & Red Light,All Disposition Manner,4419,Disposition
8,Baltimore,FY2020,Misc,Emergency Evaluations,Granted,394,Disposition
8,Baltimore,FY2021,Civil,Civil,ALL,29996,Filing
8,Baltimore,FY2021,Misc,Injunctions,ALL,6,Filing
8,Baltimore,FY2021,Misc,Emergency Evaluations,ALL,548,Filing
8,Baltimore,FY2021,Landlord Tenant,Landlord Tenant,ALL,102181,Filing
8,Baltimore,FY2021,Criminal,Criminal,ALL,11038,Filing
8,Baltimore,FY2021,Misc,Civil Citations,ALL,360,Filing
8,Baltimore,FY2021,Criminal,Fugitive Warrants,ALL,141,Filing
8,Baltimore,FY2021,Misc,Forfeiture of Contraband,ALL,2,Filing
8,Baltimore,FY2021,Motor Vehicle,Payable & Must Appear,ALL,33161,Filing
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,ALL,2027,Filing
8,Baltimore,FY2021,Motor Vehicle,Other,ALL,187,Filing
8,Baltimore,FY2021,Peace Order & Domestic Violence,Domestic Violence,ALL,3980,Filing
8,Baltimore,FY2021,Peace Order & Domestic Violence,Peace Order ,ALL,2826,Filing
8,Baltimore,FY2021,Motor Vehicle,Parking & Red Light,ALL,267,Filing
8,Baltimore,FY2021,Motor Vehicle,Payable & Must Appear,Tried,3902,Disposition
8,Baltimore,FY2021,Motor Vehicle,Payable & Must Appear,Paid,17681,Disposition
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,Jury Trial Prayer,466,Disposition
8,Baltimore,FY2021,Motor Vehicle,Payable & Must Appear,Miscellaneous,4140,Disposition
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,Other,58,Disposition
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,Probation Before Judgment,658,Disposition
8,Baltimore,FY2021,Motor Vehicle,Other,All Disposition Manner,111,Disposition
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,Guilty,294,Disposition
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,Nolle Prosequi,155,Disposition
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,Stet,3,Disposition
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,Not Guilty,17,Disposition
8,Baltimore,FY2021,Motor Vehicle,DUI/DWI,Dismissed,3,Disposition
8,Baltimore,FY2021,Misc,Municipal Infractions,All Disposition Manner,3,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Forwarded to Circuit Court,2762,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Jury Trial Prayer,970,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Other,108,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Probation Before Judgment,568,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Not Guilty,406,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Stet,943,Disposition
8,Baltimore,FY2021,Misc,Civil Citations,All Disposition Manner,410,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Nolle Prosequi,3114,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Guilty,739,Disposition
8,Baltimore,FY2021,Criminal,Criminal,Dismissed,500,Disposition
8,Baltimore,FY2021,Civil,Civil,All Judgements,11820,Disposition
8,Baltimore,FY2021,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,1065,Disposition
8,Baltimore,FY2021,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,789,Disposition
8,Baltimore,FY2021,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,2714,Disposition
8,Baltimore,FY2021,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,2060,Disposition
8,Baltimore,FY2021,Motor Vehicle,Parking & Red Light,All Disposition Manner,267,Disposition
8,Baltimore,FY2021,Misc,Emergency Evaluations,Granted,437,Disposition
8,Baltimore,FY2022,Misc,Emergency Evaluations,ALL,653,Filing
8,Baltimore,FY2022,Landlord Tenant,Landlord Tenant,ALL,96749,Filing
8,Baltimore,FY2022,Criminal,Fugitive Warrants,ALL,160,Filing
8,Baltimore,FY2022,Civil,Civil,ALL,25027,Filing
8,Baltimore,FY2022,Misc,Injunctions,ALL,1,Filing
8,Baltimore,FY2022,Misc,Civil Citations,ALL,242,Filing
8,Baltimore,FY2022,Criminal,Criminal,ALL,11963,Filing
8,Baltimore,FY2022,Misc,Municipal Infractions,ALL,2,Filing
8,Baltimore,FY2022,Misc,Forfeiture of Contraband,ALL,4,Filing
8,Baltimore,FY2022,Motor Vehicle,DUI/DWI,ALL,2176,Filing
8,Baltimore,FY2022,Motor Vehicle,Payable & Must Appear,ALL,33871,Filing
8,Baltimore,FY2022,Motor Vehicle,Other,ALL,165,Filing
8,Baltimore,FY2022,Peace Order & Domestic Violence,Domestic Violence,ALL,3221,Filing
8,Baltimore,FY2022,Peace Order & Domestic Violence,Peace Order ,ALL,2181,Filing
8,Baltimore,FY2022,Motor Vehicle,Parking & Red Light,ALL,6292,Filing
8,Baltimore,FY2022,Motor Vehicle,Payable & Must Appear,Tried,13053,Disposition
8,Baltimore,FY2022,Motor Vehicle,Payable & Must Appear,Miscellaneous,6997,Disposition
8,Baltimore,FY2022,Motor Vehicle,DUI/DWI,Probation Before Judgment,833,Disposition
